Springfield,,,,,,,,,,,,
January 2012 - January 2019,,,,,,,,,,,,
Report Date: 02/23/2019 10:12 AM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Springfield,MS. D'S KITCHEN BAR & GRILL INC.,150703951,3,450735.51,418836.56,31898.95,192522,160622.8,31899.2,9570.23,7975.17,1595.06
Springfield,"MURAD RESTAURANT,LLC",180700138,5,18921083,17505999.9,1415083.1,6403481,4988353.8,1415127.2,424540.88,353784.16,70756.72
Springfield,Myerscough Casual Dining Inc. ,120709094,5,1107312.78,1022279.53,85033.25,336410,251376.75,85033.25,25510.36,21258.65,4251.71
Springfield,NAVY CLUB OF SANGAMON SHIP NO. 32 BUILDING CORPORATION,130705862,2,1504329.51,1384723.84,119605.67,494537,374931.33,119605.67,35882.44,29902.06,5980.38
Springfield,"Northend Holdings, Inc",120700341,5,11767081.99,10761368.43,1005713.56,3762587,2756870.54,1005716.46,301717.6,251431.44,50286.16
Springfield,PAM'S JAILHOUSE INC.,130700211,4,6133510.42,5642825.3,490685.12,2093530,1602844.88,490685.12,147207.42,122672.85,24534.57
Springfield,Parvenir Group LLC,170704285,4,239542.03,214004.26,25537.77,87195,61655.98,25539.02,7661.88,6384.92,1276.96
Springfield,PATTY CAKE CUSTOMS INC.,140703208,5,0,0,0,0,0,0,0,0,0
Springfield,Pinnacle Limited Partnership,120702132,5,8481027.72,7716545.6,764482.12,2660413,1895930.88,764482.12,229347.15,191122.73,38224.42
Springfield,"Pita Hut, Inc.",120712914,3,17918.64,16003.23,1915.41,8542,6626.59,1915.41,574.67,478.89,95.78
Springfield,Randhawa Spirits Inc.,170701927,5,3381774.11,3057330.04,324444.07,1285048,960596.7,324451.3,97335.87,81113.24,16222.63
Springfield,RFW Inc.,170702870,4,1520763.57,1388806.07,131957.5,481837,349879.3,131957.7,39588,32990.02,6597.98
Springfield,"RKR Clubs, LLC",120704798,4,6498532.39,5911122.18,587410.21,2034719,1447298.79,587420.21,176228.48,146857.16,29371.32
Springfield,"Road Ranger, L.L.C.",121006439,5,78353980.71,71950461.56,6403519.15,23150916,16747339.65,6403576.35,1921076.62,1600897.26,320179.36
Springfield,"Road Ranger, L.L.C.",121006440,5,60956848.28,56158517.59,4798330.69,17243540,12445198.17,4798341.83,1439505.55,1199587.98,239917.57
Springfield,Rodems Golf Management LLC,170702073,2,7332.36,6752.21,580.15,3264,2683.85,580.15,174.04,145.03,29.01
Springfield,ROUTE 66 MOTORHEAD BAR & GRILL LLC,170703417,5,2172910.97,1988705.57,184205.4,798404,614094.1,184309.9,55293.33,46077.79,9215.54
Springfield,RSP Entertainment Corp.,120706846,4,10359215.75,9555575.75,803640,3155276,2351636,803640,241093.94,200911.69,40182.25
Springfield,SAM'S ITALIAN PIZZA INC.,130702242,3,452657.91,416964.36,35693.55,147252,111557.2,35694.8,10708.83,8924.02,1784.81
Springfield,"SCANDALS, INC.",120708646,3,460013.66,423372.23,36641.43,168926,132284.57,36641.43,10992.55,9160.46,1832.09
Springfield,SKY LOUNGE LIMITED LIABILITY COMPANY,180701671,5,279967.07,262822.51,17144.56,116099,98954.44,17144.56,5143.35,4286.13,857.22
Springfield,"SOILL Restaurant Systems, LLC",140700384,5,34129762.55,31592356.97,2537405.58,10196354,7658948.42,2537405.58,761223.74,634353.19,126870.55
